StateVec,Action,Reward,SLAMet,CPUCost,Source
"[46, 5264, 13, 25, 1]",0.0,1,YES,9.9,Original
"[122.97, 1.02475]",1.0,0,NO,122.97,FCFS
"[89.63, 1.120375]",0.0,1,YES,89.63,XGBoost
"[152.38, 0.952375]",2.0,0,NO,152.38,RoundRobin
"[86.44, 1.0805]",0.0,1,YES,86.44,XGBoost
"[159.54, 0.997125]",2.0,0,NO,159.54,XGBoost
"[145.02, 1.2085]",1.0,0,NO,145.02,RoundRobin
"[85.57, 1.069625]",0.0,1,YES,85.57,XGBoost
"[163.58, 1.022375]",2.0,0,NO,163.58,RoundRobin
"[111.93, 0.93275]",1.0,0,NO,111.93,RoundRobin
"[179.26, 1.120375]",2.0,0,NO,179.26,RoundRobin
"[87.04, 1.088]",0.0,1,YES,87.04,XGBoost
"[78.69, 0.983625]",0.0,1,YES,78.69,RoundRobin
"[191.94, 1.199625]",2.0,0,NO,191.94,RoundRobin
"[71.27, 0.890875]",0.0,1,YES,71.27,XGBoost
"[142.2, 0.88875]",2.0,0,NO,142.2,FCFS
"[124.71, 1.03925]",1.0,0,NO,124.71,FCFS
"[159.66, 0.997875]",2.0,0,NO,159.66,RoundRobin
"[88.91, 1.111375]",0.0,1,YES,88.91,FCFS
"[132.285, 1.102375]",1.0,0,NO,132.285,RoundRobin
"[128.655, 1.072125]",1.0,0,NO,128.655,RoundRobin
"[90, 8914, 54, 12, 1]",0.0,1,YES,9.93,Original
"[83.06, 1.03825]",0.0,1,YES,83.06,FCFS
"[149.835, 1.248625]",1.0,0,NO,149.835,FCFS
"[85.24, 1.0655]",0.0,1,YES,85.24,XGBoost
"[173.52, 1.0845]",2.0,0,NO,173.52,FCFS
"[80.19, 1.002375]",0.0,1,YES,80.19,XGBoost
"[172.08, 1.0755]",2.0,0,NO,172.08,RoundRobin
"[79.07, 0.988375]",0.0,1,YES,79.07,XGBoost
"[73.92, 0.924]",0.0,1,YES,73.92,RoundRobin
"[72.06, 0.90075]",0.0,1,YES,72.06,FCFS
"[111.255, 0.927125]",1.0,0,NO,111.255,RoundRobin
"[91.27, 1.140875]",0.0,1,YES,91.27,XGBoost
