StateVec,Action,Reward,SLAMet,CPUCost,Source
"[78.21, 0.977625]",0.0,1,YES,78.21,FCFS
"[140.1, 0.875625]",2.0,0,NO,140.1,FCFS
"[113.835, 0.948625]",1.0,0,NO,113.835,RoundRobin
"[99.59, 1.244875]",0.0,1,YES,99.59,FCFS
"[142.44, 1.187]",1.0,0,NO,142.44,RoundRobin
"[94.19, 1.177375]",0.0,1,YES,94.19,XGBoost
"[44, 12320, 81, 1, 3]",1.0,1,YES,1.23,Original
"[120.225, 1.001875]",1.0,0,NO,120.225,FCFS
"[148.815, 1.240125]",1.0,0,NO,148.815,FCFS
"[82.79, 1.034875]",0.0,1,YES,82.79,XGBoost
"[81.27, 1.015875]",0.0,1,YES,81.27,RoundRobin
"[79.4, 0.9925]",0.0,1,YES,79.4,RoundRobin
"[186.52, 1.16575]",2.0,1,YES,186.52,XGBoost
"[83.53, 1.044125]",0.0,1,YES,83.53,FCFS
"[88.86, 1.11075]",0.0,1,YES,88.86,XGBoost
"[80, 2415, 96, 9, 2]",0.0,1,YES,7.09,Original
"[82.71, 1.033875]",0.0,1,YES,82.71,XGBoost
"[183.82, 1.148875]",2.0,1,YES,183.82,XGBoost
"[106.635, 0.888625]",1.0,0,NO,106.635,RoundRobin
"[88.04, 1.1005]",0.0,1,YES,88.04,FCFS
"[96.78, 1.20975]",0.0,1,YES,96.78,FCFS
"[143.06, 0.894125]",2.0,0,NO,143.06,FCFS
"[181.42, 1.133875]",2.0,0,NO,181.42,FCFS
"[127.245, 1.060375]",1.0,0,NO,127.245,FCFS
"[82.57, 1.032125]",0.0,1,YES,82.57,FCFS
"[116.235, 0.968625]",1.0,0,NO,116.235,RoundRobin
"[123.645, 1.030375]",1.0,0,NO,123.645,FCFS
"[157.1, 0.981875]",2.0,0,NO,157.1,FCFS
"[125.865, 1.048875]",1.0,0,NO,125.865,RoundRobin
"[91, 9344, 72, 31, 3]",0.0,1,YES,8.13,Original
"[92.76, 1.1595]",0.0,1,YES,92.76,XGBoost
"[179.62, 1.122625]",2.0,1,YES,179.62,XGBoost
"[180.24, 1.1265]",2.0,0,NO,180.24,RoundRobin
"[82.85, 1.035625]",0.0,1,YES,82.85,RoundRobin
"[119.295, 0.994125]",1.0,0,NO,119.295,FCFS
"[140.9, 0.880625]",2.0,0,NO,140.9,FCFS
"[83.04, 1.038]",0.0,1,YES,83.04,XGBoost
"[77.33, 0.966625]",0.0,1,YES,77.33,RoundRobin
"[35, 15005, 62, 45, 1]",1.0,1,YES,3.36,Original
"[147.315, 1.227625]",1.0,0,NO,147.315,FCFS
"[187.12, 1.1695]",2.0,1,YES,187.12,XGBoost
"[182.02, 1.137625]",2.0,1,YES,182.02,XGBoost
"[119.085, 0.992375]",1.0,0,NO,119.085,RoundRobin
"[94.11, 1.176375]",0.0,1,YES,94.11,FCFS
"[193.36, 1.2085]",2.0,0,NO,193.36,RoundRobin
"[156.54, 0.978375]",2.0,0,NO,156.54,FCFS
"[154.12, 0.96325]",2.0,0,NO,154.12,RoundRobin
"[83.42, 1.04275]",0.0,1,YES,83.42,XGBoost
"[78, 10477, 94, 14, 3]",0.0,1,YES,8.58,Original
"[76.26, 0.95325]",0.0,1,YES,76.26,FCFS
"[178.36, 1.11475]",2.0,0,NO,178.36,RoundRobin
"[116.865, 0.973875]",1.0,0,NO,116.865,FCFS
"[85.77, 1.072125]",0.0,1,YES,85.77,FCFS
"[156.82, 0.980125]",2.0,0,NO,156.82,RoundRobin
"[89.12, 1.114]",0.0,1,YES,89.12,FCFS
"[75.87, 0.948375]",0.0,1,YES,75.87,FCFS
"[150.0, 0.9375]",2.0,0,NO,150.0,FCFS
"[86.4, 1.08]",0.0,1,YES,86.4,XGBoost
"[58, 3679, 37, 6, 2]",1.0,1,YES,1.22,Original
"[73.28, 0.916]",0.0,1,YES,73.28,XGBoost
"[89.42, 1.11775]",0.0,1,YES,89.42,XGBoost
"[109.995, 0.916625]",1.0,0,NO,109.995,RoundRobin
"[89.75, 1.121875]",0.0,1,YES,89.75,XGBoost
"[85.77, 1.072125]",0.0,1,YES,85.77,XGBoost
"[120.99, 1.00825]",1.0,0,NO,120.99,RoundRobin
"[73.04, 0.913]",0.0,1,YES,73.04,XGBoost
"[90.14, 1.12675]",0.0,1,YES,90.14,XGBoost
"[91.84, 1.148]",0.0,1,YES,91.84,FCFS
"[78.44, 0.9805]",0.0,1,YES,78.44,RoundRobin
"[76.02, 0.95025]",0.0,1,YES,76.02,RoundRobin
"[184.24, 1.1515]",2.0,0,NO,184.24,RoundRobin
"[91.19, 1.139875]",0.0,1,YES,91.19,XGBoost
"[97.69, 1.221125]",0.0,1,YES,97.69,XGBoost
"[145.78, 0.911125]",2.0,0,NO,145.78,RoundRobin
"[83.01, 1.037625]",0.0,1,YES,83.01,XGBoost
"[141.975, 1.183125]",1.0,0,NO,141.975,FCFS
"[80, 15311, 27, 21, 2]",0.0,1,YES,6.84,Original
"[187.38, 1.171125]",2.0,0,NO,187.38,RoundRobin
"[146.04, 0.91275]",2.0,0,NO,146.04,FCFS
"[180.88, 1.1305]",2.0,0,NO,180.88,RoundRobin
"[87.86, 1.09825]",0.0,1,YES,87.86,RoundRobin
"[96.81, 1.210125]",0.0,1,YES,96.81,FCFS
"[149.19, 1.24325]",1.0,0,NO,149.19,RoundRobin
"[67, 1151, 90, 14, 1]",1.0,1,YES,4.49,Original
"[98.3, 1.22875]",0.0,1,YES,98.3,RoundRobin
"[99.55, 1.244375]",0.0,1,YES,99.55,XGBoost
"[92.36, 1.1545]",0.0,1,YES,92.36,XGBoost
"[97.53, 1.219125]",0.0,1,YES,97.53,XGBoost
"[82.19, 1.027375]",0.0,1,YES,82.19,XGBoost
"[73.26, 0.91575]",0.0,1,YES,73.26,FCFS
"[175.46, 1.096625]",2.0,0,NO,175.46,FCFS
"[93.5, 1.16875]",0.0,1,YES,93.5,XGBoost
"[127.515, 1.062625]",1.0,0,NO,127.515,FCFS
"[87.43, 1.092875]",0.0,1,YES,87.43,RoundRobin
"[60, 15294, 25, 27, 2]",1.0,1,YES,1.83,Original
"[81.33, 1.016625]",0.0,1,YES,81.33,XGBoost
"[142.68, 0.89175]",2.0,0,NO,142.68,XGBoost
"[95.71, 1.196375]",0.0,1,YES,95.71,FCFS
"[85, 12076, 30, 11, 3]",1.0,1,YES,2.8,Original
"[98.23, 1.227875]",0.0,1,YES,98.23,RoundRobin
"[63, 11808, 42, 31, 2]",0.0,1,YES,9.02,Original
"[141.18, 1.1765]",1.0,0,NO,141.18,RoundRobin
"[71.74, 0.89675]",0.0,1,YES,71.74,RoundRobin
"[97.43, 1.217875]",0.0,1,YES,97.43,RoundRobin
"[140.655, 1.172125]",1.0,0,NO,140.655,RoundRobin
"[168.64, 1.054]",2.0,0,NO,168.64,RoundRobin
"[132.12, 1.101]",1.0,0,NO,132.12,RoundRobin
"[141.08, 0.88175]",2.0,0,NO,141.08,RoundRobin
"[125.22, 1.0435]",1.0,0,NO,125.22,RoundRobin
"[111.555, 0.929625]",1.0,0,NO,111.555,FCFS
"[146.66, 0.916625]",2.0,0,NO,146.66,RoundRobin
"[77.73, 0.971625]",0.0,1,YES,77.73,XGBoost
"[168.0, 1.05]",2.0,0,NO,168.0,RoundRobin
"[179.08, 1.11925]",2.0,0,NO,179.08,RoundRobin
"[99.0, 1.2375]",0.0,1,YES,99.0,FCFS
"[80.95, 1.011875]",0.0,1,YES,80.95,FCFS
"[96.62, 1.20775]",0.0,1,YES,96.62,RoundRobin
"[179.02, 1.118875]",2.0,0,NO,179.02,FCFS
"[77.5, 0.96875]",0.0,1,YES,77.5,FCFS
"[57, 4962, 13, 27, 3]",1.0,1,YES,3.48,Original
"[152.1, 0.950625]",2.0,0,NO,152.1,XGBoost
"[84.55, 1.056875]",0.0,1,YES,84.55,XGBoost
"[93.12, 1.164]",0.0,1,YES,93.12,XGBoost
"[95.76, 1.197]",0.0,1,YES,95.76,XGBoost
"[126.09, 1.05075]",1.0,0,NO,126.09,FCFS
"[80.44, 1.0055]",0.0,1,YES,80.44,RoundRobin
"[74.12, 0.9265]",0.0,1,YES,74.12,FCFS
"[148.64, 0.929]",2.0,0,NO,148.64,RoundRobin
"[145.5, 0.909375]",2.0,0,NO,145.5,FCFS
"[134.04, 1.117]",1.0,0,NO,134.04,FCFS
"[132.48, 1.104]",1.0,0,NO,132.48,RoundRobin
"[72, 2124, 73, 5, 1]",1.0,1,YES,4.72,Original
"[149.0, 0.93125]",2.0,0,NO,149.0,FCFS
"[98.97, 1.237125]",0.0,1,YES,98.97,XGBoost
"[76.81, 0.960125]",0.0,1,YES,76.81,XGBoost
"[191.2, 1.195]",2.0,0,NO,191.2,FCFS
"[154.04, 0.96275]",2.0,0,NO,154.04,FCFS
"[79.78, 0.99725]",0.0,1,YES,79.78,XGBoost
"[181.08, 1.13175]",2.0,0,NO,181.08,RoundRobin
"[143.31, 1.19425]",1.0,0,NO,143.31,FCFS
"[116.07, 0.96725]",1.0,0,NO,116.07,FCFS
"[33, 3875, 73, 28, 2]",1.0,1,YES,3.27,Original
"[71.81, 0.897625]",0.0,1,YES,71.81,XGBoost
"[87, 4462, 13, 21, 1]",0.0,1,YES,8.76,Original
"[94.95, 1.186875]",0.0,1,YES,94.95,XGBoost
"[99.43, 1.242875]",0.0,1,YES,99.43,XGBoost
"[90.38, 1.12975]",0.0,1,YES,90.38,FCFS
"[114.105, 0.950875]",1.0,0,NO,114.105,RoundRobin
"[78, 12504, 90, 26, 1]",1.0,1,YES,1.05,Original
"[195.04, 1.219]",2.0,0,NO,195.04,RoundRobin
"[169.3, 1.058125]",2.0,0,NO,169.3,RoundRobin
"[91.04, 1.138]",0.0,1,YES,91.04,XGBoost
"[75.53, 0.944125]",0.0,1,YES,75.53,FCFS
"[106.845, 0.890375]",1.0,0,NO,106.845,FCFS
"[124.695, 1.039125]",1.0,0,NO,124.695,RoundRobin
"[95.72, 1.1965]",0.0,1,YES,95.72,FCFS
"[170.34, 1.064625]",2.0,0,NO,170.34,FCFS
"[81.51, 1.018875]",0.0,1,YES,81.51,RoundRobin
"[73.2, 0.915]",0.0,1,YES,73.2,RoundRobin
"[88.19, 1.102375]",0.0,1,YES,88.19,RoundRobin
"[188.52, 1.17825]",2.0,0,NO,188.52,RoundRobin
"[86.23, 1.077875]",0.0,1,YES,86.23,RoundRobin
"[99.79, 1.247375]",0.0,1,YES,99.79,FCFS
"[142.4, 0.89]",2.0,0,NO,142.4,XGBoost
"[90.35, 1.129375]",0.0,1,YES,90.35,XGBoost
"[92.95, 1.161875]",0.0,1,YES,92.95,RoundRobin
"[197.7, 1.235625]",2.0,0,NO,197.7,RoundRobin
"[83.05, 1.038125]",0.0,1,YES,83.05,RoundRobin
"[177.86, 1.111625]",2.0,0,NO,177.86,RoundRobin
"[130.35, 1.08625]",1.0,0,NO,130.35,FCFS
"[114.84, 0.957]",1.0,0,NO,114.84,FCFS
"[181.46, 1.134125]",2.0,0,NO,181.46,RoundRobin
"[95.55, 1.194375]",0.0,1,YES,95.55,XGBoost
"[157.3, 0.983125]",2.0,0,NO,157.3,RoundRobin
"[98.66, 1.23325]",0.0,1,YES,98.66,FCFS
"[85.91, 1.073875]",0.0,1,YES,85.91,FCFS
"[83, 15964, 66, 13, 2]",1.0,1,YES,3.82,Original
"[178.82, 1.117625]",2.0,0,NO,178.82,FCFS
"[158.66, 0.991625]",2.0,0,NO,158.66,RoundRobin
"[80.69, 1.008625]",0.0,1,YES,80.69,XGBoost
"[192.7, 1.204375]",2.0,0,NO,192.7,FCFS
"[174.0, 1.0875]",2.0,0,NO,174.0,RoundRobin
"[92.1, 1.15125]",0.0,1,YES,92.1,RoundRobin
"[137.175, 1.143125]",1.0,0,NO,137.175,RoundRobin
"[139.62, 1.1635]",1.0,0,NO,139.62,FCFS
"[196.66, 1.229125]",2.0,0,NO,196.66,RoundRobin
"[87.53, 1.094125]",0.0,1,YES,87.53,RoundRobin
"[120.675, 1.005625]",1.0,0,NO,120.675,FCFS
"[162.78, 1.017375]",2.0,0,NO,162.78,FCFS
"[80.26, 1.00325]",0.0,1,YES,80.26,RoundRobin
"[97.41, 1.217625]",0.0,1,YES,97.41,FCFS
"[134.76, 1.123]",1.0,0,NO,134.76,RoundRobin
"[86.32, 1.079]",0.0,1,YES,86.32,FCFS
"[139.935, 1.166125]",1.0,0,NO,139.935,FCFS
"[161.72, 1.01075]",2.0,1,YES,161.72,XGBoost
"[71.06, 0.88825]",0.0,1,YES,71.06,XGBoost
"[79.62, 0.99525]",0.0,1,YES,79.62,XGBoost
"[77.33, 0.966625]",0.0,1,YES,77.33,XGBoost
"[106.92, 0.891]",1.0,0,NO,106.92,RoundRobin
"[75.39, 0.942375]",0.0,1,YES,75.39,FCFS
"[132.945, 1.107875]",1.0,0,NO,132.945,FCFS
"[121.095, 1.009125]",1.0,0,NO,121.095,FCFS
"[88, 7700, 47, 30, 2]",0.0,1,YES,9.14,Original
"[77.4, 0.9675]",0.0,1,YES,77.4,RoundRobin
"[72.95, 0.911875]",0.0,1,YES,72.95,RoundRobin
"[166.46, 1.040375]",2.0,0,NO,166.46,RoundRobin
"[86.88, 1.086]",0.0,1,YES,86.88,XGBoost
"[95.91, 1.198875]",0.0,1,YES,95.91,XGBoost
"[38, 9346, 11, 8, 3]",0.0,1,YES,7.79,Original
"[78.54, 0.98175]",0.0,1,YES,78.54,XGBoost
"[71.41, 0.892625]",0.0,1,YES,71.41,FCFS
"[183.94, 1.149625]",2.0,1,YES,183.94,XGBoost
"[97.41, 1.217625]",0.0,1,YES,97.41,FCFS
"[43, 4843, 72, 27, 1]",1.0,1,YES,1.52,Original
"[97.9, 1.22375]",0.0,1,YES,97.9,XGBoost
"[153.48, 0.95925]",2.0,0,NO,153.48,FCFS
"[138.465, 1.153875]",1.0,0,NO,138.465,FCFS
"[129.03, 1.07525]",1.0,0,NO,129.03,FCFS
"[191.5, 1.196875]",2.0,0,NO,191.5,FCFS
"[90.49, 1.131125]",0.0,1,YES,90.49,XGBoost
"[138.42, 1.1535]",1.0,0,NO,138.42,FCFS
"[179.52, 1.122]",2.0,1,YES,179.52,XGBoost
"[91.06, 1.13825]",0.0,1,YES,91.06,FCFS
"[110.595, 0.921625]",1.0,0,NO,110.595,RoundRobin
"[31, 2064, 91, 13, 1]",0.0,1,YES,6.99,Original
"[123.18, 1.0265]",1.0,0,NO,123.18,RoundRobin
"[99.47, 1.243375]",0.0,1,YES,99.47,RoundRobin
"[140.79, 1.17325]",1.0,0,NO,140.79,RoundRobin
"[155.82, 0.973875]",2.0,0,NO,155.82,FCFS
"[148.06, 0.925375]",2.0,0,NO,148.06,FCFS
"[79.5, 0.99375]",0.0,1,YES,79.5,XGBoost
"[170.62, 1.066375]",2.0,0,NO,170.62,RoundRobin
"[71.93, 0.899125]",0.0,1,YES,71.93,FCFS
"[158.04, 0.98775]",2.0,0,NO,158.04,FCFS
"[81.12, 1.014]",0.0,1,YES,81.12,XGBoost
"[181.3, 1.133125]",2.0,0,NO,181.3,FCFS
"[75.13, 0.939125]",0.0,1,YES,75.13,RoundRobin
"[76.24, 0.953]",0.0,1,YES,76.24,RoundRobin
"[83.53, 1.044125]",0.0,1,YES,83.53,RoundRobin
"[197.16, 1.23225]",2.0,0,NO,197.16,RoundRobin
"[145.64, 0.91025]",2.0,0,NO,145.64,XGBoost
"[130.545, 1.087875]",1.0,0,NO,130.545,FCFS
"[83.38, 1.04225]",0.0,1,YES,83.38,RoundRobin
"[86.57, 1.082125]",0.0,1,YES,86.57,XGBoost
"[46, 15655, 9, 42, 1]",0.0,1,YES,5.33,Original
"[143.88, 1.199]",1.0,0,NO,143.88,RoundRobin
"[70.48, 0.881]",0.0,1,YES,70.48,FCFS
"[199.42, 1.246375]",2.0,0,NO,199.42,FCFS
"[87.21, 1.090125]",0.0,1,YES,87.21,XGBoost
"[151.54, 0.947125]",2.0,0,NO,151.54,XGBoost
"[109.035, 0.908625]",1.0,0,NO,109.035,RoundRobin
"[79.32, 0.9915]",0.0,1,YES,79.32,RoundRobin
"[71.03, 0.887875]",0.0,1,YES,71.03,FCFS
"[165.42, 1.033875]",2.0,0,NO,165.42,RoundRobin
"[140.64, 0.879]",2.0,0,NO,140.64,RoundRobin
"[109.62, 0.9135]",1.0,0,NO,109.62,FCFS
"[157.3, 0.983125]",2.0,0,NO,157.3,RoundRobin
"[127.05, 1.05875]",1.0,0,NO,127.05,RoundRobin
"[138.15, 1.15125]",1.0,0,NO,138.15,RoundRobin
"[137.91, 1.14925]",1.0,0,NO,137.91,RoundRobin
"[125.295, 1.044125]",1.0,0,NO,125.295,FCFS
"[184.1, 1.150625]",2.0,1,YES,184.1,XGBoost
"[184.08, 1.1505]",2.0,0,NO,184.08,FCFS
"[108.69, 0.90575]",1.0,0,NO,108.69,RoundRobin
"[133.845, 1.115375]",1.0,0,NO,133.845,RoundRobin
"[117.705, 0.980875]",1.0,0,NO,117.705,RoundRobin
"[110.565, 0.921375]",1.0,0,NO,110.565,FCFS
"[151.74, 0.948375]",2.0,0,NO,151.74,RoundRobin
"[95.2, 1.19]",0.0,1,YES,95.2,FCFS
"[84.99, 1.062375]",0.0,1,YES,84.99,FCFS
"[94.11, 1.176375]",0.0,1,YES,94.11,XGBoost
"[76, 5015, 17, 17, 2]",1.0,1,YES,3.45,Original
"[171.12, 1.0695]",2.0,0,NO,171.12,FCFS
"[161.54, 1.009625]",2.0,0,NO,161.54,FCFS
"[190.12, 1.18825]",2.0,0,NO,190.12,FCFS
"[162.72, 1.017]",2.0,1,YES,162.72,XGBoost
"[181.38, 1.133625]",2.0,0,NO,181.38,FCFS
"[81.12, 1.014]",0.0,1,YES,81.12,XGBoost
"[134.1, 1.1175]",1.0,0,NO,134.1,RoundRobin
"[160.1, 1.000625]",2.0,0,NO,160.1,RoundRobin
"[97.62, 1.22025]",0.0,1,YES,97.62,FCFS
"[174.38, 1.089875]",2.0,0,NO,174.38,FCFS
"[87.8, 1.0975]",0.0,1,YES,87.8,XGBoost
"[92.4, 1.155]",0.0,1,YES,92.4,XGBoost
"[164.04, 1.02525]",2.0,0,NO,164.04,RoundRobin
"[79.72, 0.9965]",0.0,1,YES,79.72,XGBoost
"[97.5, 1.21875]",0.0,1,YES,97.5,RoundRobin
"[89.21, 1.115125]",0.0,1,YES,89.21,FCFS
"[52, 12503, 29, 17, 3]",1.0,1,YES,3.42,Original
"[93.75, 1.171875]",0.0,1,YES,93.75,FCFS
"[83.56, 1.0445]",0.0,1,YES,83.56,XGBoost
"[120.33, 1.00275]",1.0,0,NO,120.33,FCFS
"[80.93, 1.011625]",0.0,1,YES,80.93,XGBoost
"[92.62, 1.15775]",0.0,1,YES,92.62,FCFS
"[97.1, 1.21375]",0.0,1,YES,97.1,RoundRobin
"[163.3, 1.020625]",2.0,0,NO,163.3,FCFS
"[149.805, 1.248375]",1.0,0,NO,149.805,RoundRobin
"[120.48, 1.004]",1.0,0,NO,120.48,FCFS
"[78.86, 0.98575]",0.0,1,YES,78.86,XGBoost
"[119.76, 0.998]",1.0,0,NO,119.76,RoundRobin
"[146.68, 0.91675]",2.0,0,NO,146.68,RoundRobin
"[128.085, 1.067375]",1.0,0,NO,128.085,RoundRobin
"[99.12, 1.239]",0.0,1,YES,99.12,XGBoost
"[152.7, 0.954375]",2.0,0,NO,152.7,XGBoost
"[197.76, 1.236]",2.0,0,NO,197.76,FCFS
"[148.66, 0.929125]",2.0,0,NO,148.66,XGBoost
"[92.15, 1.151875]",0.0,1,YES,92.15,RoundRobin
"[88.83, 1.110375]",0.0,1,YES,88.83,XGBoost
"[78.18, 0.97725]",0.0,1,YES,78.18,FCFS
"[116.85, 0.97375]",1.0,0,NO,116.85,FCFS
"[179.48, 1.12175]",2.0,0,NO,179.48,RoundRobin
"[46, 9742, 81, 25, 2]",0.0,1,YES,8.89,Original
"[81.44, 1.018]",0.0,1,YES,81.44,XGBoost
"[191.78, 1.198625]",2.0,0,NO,191.78,RoundRobin
"[166.54, 1.040875]",2.0,1,YES,166.54,XGBoost
"[177.6, 1.11]",2.0,0,NO,177.6,FCFS
"[196.78, 1.229875]",2.0,0,NO,196.78,FCFS
"[95.77, 1.197125]",0.0,1,YES,95.77,XGBoost
"[97.98, 1.22475]",0.0,1,YES,97.98,XGBoost
"[98.75, 1.234375]",0.0,1,YES,98.75,XGBoost
"[111.195, 0.926625]",1.0,0,NO,111.195,FCFS
"[84.16, 1.052]",0.0,1,YES,84.16,FCFS
"[193.22, 1.207625]",2.0,0,NO,193.22,RoundRobin
"[85.4, 1.0675]",0.0,1,YES,85.4,FCFS
"[140.73, 1.17275]",1.0,0,NO,140.73,RoundRobin
"[89.23, 1.115375]",0.0,1,YES,89.23,RoundRobin
"[98.15, 1.226875]",0.0,1,YES,98.15,XGBoost
"[69, 10584, 34, 1, 2]",0.0,1,YES,7.21,Original
"[41, 9900, 15, 14, 1]",0.0,1,YES,5.74,Original
"[93.18, 1.16475]",0.0,1,YES,93.18,FCFS
"[88.6, 1.1075]",0.0,1,YES,88.6,XGBoost
"[80.76, 1.0095]",0.0,1,YES,80.76,XGBoost
"[195.92, 1.2245]",2.0,0,NO,195.92,RoundRobin
"[169.2, 1.0575]",2.0,1,YES,169.2,XGBoost
"[167.9, 1.049375]",2.0,1,YES,167.9,XGBoost
"[92.48, 1.156]",0.0,1,YES,92.48,XGBoost
"[97.43, 1.217875]",0.0,1,YES,97.43,XGBoost
"[138.81, 1.15675]",1.0,0,NO,138.81,RoundRobin
"[75.92, 0.949]",0.0,1,YES,75.92,XGBoost
"[127.035, 1.058625]",1.0,0,NO,127.035,RoundRobin
"[79.92, 0.999]",0.0,1,YES,79.92,RoundRobin
"[75.47, 0.943375]",0.0,1,YES,75.47,FCFS
"[83.15, 1.039375]",0.0,1,YES,83.15,XGBoost
"[182.2, 1.13875]",2.0,1,YES,182.2,XGBoost
"[151.7, 0.948125]",2.0,0,NO,151.7,XGBoost
"[92.68, 1.1585]",0.0,1,YES,92.68,XGBoost
"[184.12, 1.15075]",2.0,1,YES,184.12,XGBoost
"[66, 7642, 49, 39, 3]",1.0,1,YES,4.53,Original
"[134.55, 1.12125]",1.0,0,NO,134.55,FCFS
"[123.795, 1.031625]",1.0,0,NO,123.795,RoundRobin
"[73.48, 0.9185]",0.0,1,YES,73.48,XGBoost
"[142.02, 0.887625]",2.0,0,NO,142.02,FCFS
"[96.12, 1.2015]",0.0,1,YES,96.12,RoundRobin
"[89.58, 1.11975]",0.0,1,YES,89.58,FCFS
"[167.7, 1.048125]",2.0,0,NO,167.7,RoundRobin
"[135.63, 1.13025]",1.0,0,NO,135.63,FCFS
"[127.635, 1.063625]",1.0,0,NO,127.635,FCFS
"[72.88, 0.911]",0.0,1,YES,72.88,XGBoost
"[185.18, 1.157375]",2.0,1,YES,185.18,XGBoost
"[80.87, 1.010875]",0.0,1,YES,80.87,XGBoost
"[136.635, 1.138625]",1.0,0,NO,136.635,RoundRobin
"[89.11, 1.113875]",0.0,1,YES,89.11,XGBoost
"[88.04, 1.1005]",0.0,1,YES,88.04,FCFS
"[74.12, 0.9265]",0.0,1,YES,74.12,FCFS
"[71, 8960, 68, 49, 2]",0.0,1,YES,9.68,Original
"[74, 15640, 18, 22, 2]",1.0,1,YES,2.3,Original
"[141.525, 1.179375]",1.0,0,NO,141.525,FCFS
"[191.94, 1.199625]",2.0,0,NO,191.94,RoundRobin
"[81.33, 1.016625]",0.0,1,YES,81.33,RoundRobin
"[145.815, 1.215125]",1.0,0,NO,145.815,RoundRobin
"[78.72, 0.984]",0.0,1,YES,78.72,XGBoost
"[84.07, 1.050875]",0.0,1,YES,84.07,RoundRobin
"[81.44, 1.018]",0.0,1,YES,81.44,XGBoost
"[82.93, 1.036625]",0.0,1,YES,82.93,RoundRobin
"[70.72, 0.884]",0.0,1,YES,70.72,FCFS
"[152.08, 0.9505]",2.0,0,NO,152.08,RoundRobin
"[179.54, 1.122125]",2.0,1,YES,179.54,XGBoost
"[145.18, 0.907375]",2.0,0,NO,145.18,FCFS
"[199.36, 1.246]",2.0,1,YES,199.36,XGBoost
"[119.58, 0.9965]",1.0,0,NO,119.58,FCFS
"[125.985, 1.049875]",1.0,0,NO,125.985,FCFS
"[110.13, 0.91775]",1.0,0,NO,110.13,FCFS
"[88.88, 1.111]",0.0,1,YES,88.88,XGBoost
"[77.7, 0.97125]",0.0,1,YES,77.7,FCFS
"[85.54, 1.06925]",0.0,1,YES,85.54,XGBoost
"[77.8, 0.9725]",0.0,1,YES,77.8,XGBoost
"[109.26, 0.9105]",1.0,0,NO,109.26,RoundRobin
"[165.68, 1.0355]",2.0,0,NO,165.68,FCFS
"[197.94, 1.237125]",2.0,1,YES,197.94,XGBoost
"[172.18, 1.076125]",2.0,0,NO,172.18,FCFS
"[168.98, 1.056125]",2.0,0,NO,168.98,FCFS
"[142.74, 1.1895]",1.0,0,NO,142.74,RoundRobin
"[154.92, 0.96825]",2.0,0,NO,154.92,FCFS
"[82.11, 1.026375]",0.0,1,YES,82.11,XGBoost
"[180.36, 1.12725]",2.0,0,NO,180.36,FCFS
"[135.465, 1.128875]",1.0,0,NO,135.465,FCFS
"[123.24, 1.027]",1.0,0,NO,123.24,FCFS
"[190.14, 1.188375]",2.0,0,NO,190.14,FCFS
"[71.15, 0.889375]",0.0,1,YES,71.15,XGBoost
"[89.81, 1.122625]",0.0,1,YES,89.81,XGBoost
"[85.11, 1.063875]",0.0,1,YES,85.11,XGBoost
"[142.185, 1.184875]",1.0,0,NO,142.185,RoundRobin
"[71.68, 0.896]",0.0,1,YES,71.68,XGBoost
"[122.85, 1.02375]",1.0,0,NO,122.85,RoundRobin
"[97.19, 1.214875]",0.0,1,YES,97.19,XGBoost
"[68, 12594, 67, 33, 2]",0.0,1,YES,6.97,Original
"[39, 14980, 23, 38, 1]",1.0,1,YES,2.81,Original
"[113.685, 0.947375]",1.0,0,NO,113.685,RoundRobin
"[150.98, 0.943625]",2.0,0,NO,150.98,XGBoost
"[112.545, 0.937875]",1.0,0,NO,112.545,RoundRobin
"[183.92, 1.1495]",2.0,1,YES,183.92,XGBoost
"[92.1, 1.15125]",0.0,1,YES,92.1,XGBoost
"[92.35, 1.154375]",0.0,1,YES,92.35,XGBoost
"[107.385, 0.894875]",1.0,0,NO,107.385,RoundRobin
"[74.37, 0.929625]",0.0,1,YES,74.37,FCFS
"[143.4, 0.89625]",2.0,0,NO,143.4,RoundRobin
"[152.64, 0.954]",2.0,0,NO,152.64,XGBoost
"[65, 8004, 71, 13, 2]",1.0,1,YES,3.74,Original
"[94.39, 1.179875]",0.0,1,YES,94.39,RoundRobin
"[82.42, 1.03025]",0.0,1,YES,82.42,FCFS
"[119.985, 0.999875]",1.0,0,NO,119.985,RoundRobin
"[82.94, 1.03675]",0.0,1,YES,82.94,XGBoost
"[81.16, 1.0145]",0.0,1,YES,81.16,RoundRobin
"[143.02, 0.893875]",2.0,0,NO,143.02,RoundRobin
"[155.6, 0.9725]",2.0,0,NO,155.6,RoundRobin
"[91.89, 1.148625]",0.0,1,YES,91.89,FCFS
"[111.12, 0.926]",1.0,0,NO,111.12,RoundRobin
"[78.59, 0.982375]",0.0,1,YES,78.59,RoundRobin
"[71.1, 0.88875]",0.0,1,YES,71.1,XGBoost
"[184.78, 1.154875]",2.0,0,NO,184.78,RoundRobin
"[193.56, 1.20975]",2.0,0,NO,193.56,FCFS
"[79.8, 0.9975]",0.0,1,YES,79.8,FCFS
"[77.28, 0.966]",0.0,1,YES,77.28,XGBoost
"[86.71, 1.083875]",0.0,1,YES,86.71,XGBoost
"[177.16, 1.10725]",2.0,0,NO,177.16,RoundRobin
"[163.78, 1.023625]",2.0,0,NO,163.78,RoundRobin
