StateVec,Action,Reward,SLAMet,CPUCost,Source,NextState,Done
"[178.3, 1.114375, 0.0, 0.0, 0.0]",2.0,0,NO,178.3,RoundRobin,"[178.3, 1.114375, 0.0, 0.0, 0.0]",False
"[154.18, 0.963625, 0.0, 0.0, 0.0]",2.0,0,NO,154.18,FCFS,"[154.18, 0.963625, 0.0, 0.0, 0.0]",False
"[128.835, 1.073625, 0.0, 0.0, 0.0]",1.0,0,NO,128.835,RoundRobin,"[128.835, 1.073625, 0.0, 0.0, 0.0]",False
"[99.42, 1.24275, 0.0, 0.0, 0.0]",0.0,1,YES,99.42,XGBoost,"[99.42, 1.24275, 0.0, 0.0, 0.0]",False
"[74.58, 0.93225, 0.0, 0.0, 0.0]",0.0,1,YES,74.58,FCFS,"[74.58, 0.93225, 0.0, 0.0, 0.0]",False
"[92.08, 1.151, 0.0, 0.0, 0.0]",0.0,1,YES,92.08,RoundRobin,"[92.08, 1.151, 0.0, 0.0, 0.0]",False
"[175.46, 1.096625, 0.0, 0.0, 0.0]",2.0,0,NO,175.46,FCFS,"[175.46, 1.096625, 0.0, 0.0, 0.0]",False
"[79.42, 0.99275, 0.0, 0.0, 0.0]",0.0,1,YES,79.42,XGBoost,"[79.42, 0.99275, 0.0, 0.0, 0.0]",False
"[99.99, 1.249875, 0.0, 0.0, 0.0]",0.0,1,YES,99.99,XGBoost,"[99.99, 1.249875, 0.0, 0.0, 0.0]",False
"[112.545, 0.937875, 0.0, 0.0, 0.0]",1.0,0,NO,112.545,RoundRobin,"[112.545, 0.937875, 0.0, 0.0, 0.0]",False
"[86.13, 1.076625, 0.0, 0.0, 0.0]",0.0,1,YES,86.13,XGBoost,"[86.13, 1.076625, 0.0, 0.0, 0.0]",False
"[83.58, 1.04475, 0.0, 0.0, 0.0]",0.0,1,YES,83.58,FCFS,"[83.58, 1.04475, 0.0, 0.0, 0.0]",False
"[152.6, 0.95375, 0.0, 0.0, 0.0]",2.0,0,NO,152.6,XGBoost,"[152.6, 0.95375, 0.0, 0.0, 0.0]",False
"[107.595, 0.896625, 0.0, 0.0, 0.0]",1.0,0,NO,107.595,RoundRobin,"[107.595, 0.896625, 0.0, 0.0, 0.0]",False
"[93.17, 1.164625, 0.0, 0.0, 0.0]",0.0,1,YES,93.17,XGBoost,"[93.17, 1.164625, 0.0, 0.0, 0.0]",False
"[133.41, 1.11175, 0.0, 0.0, 0.0]",1.0,0,NO,133.41,FCFS,"[133.41, 1.11175, 0.0, 0.0, 0.0]",False
"[136.92, 1.141, 0.0, 0.0, 0.0]",1.0,0,NO,136.92,RoundRobin,"[136.92, 1.141, 0.0, 0.0, 0.0]",False
"[85.81, 1.072625, 0.0, 0.0, 0.0]",0.0,1,YES,85.81,XGBoost,"[85.81, 1.072625, 0.0, 0.0, 0.0]",False
"[98.22, 1.22775, 0.0, 0.0, 0.0]",0.0,1,YES,98.22,FCFS,"[98.22, 1.22775, 0.0, 0.0, 0.0]",False
"[71.68, 0.896, 0.0, 0.0, 0.0]",0.0,1,YES,71.68,FCFS,"[71.68, 0.896, 0.0, 0.0, 0.0]",False
"[134.895, 1.124125, 0.0, 0.0, 0.0]",1.0,0,NO,134.895,FCFS,"[134.895, 1.124125, 0.0, 0.0, 0.0]",False
"[154.0, 0.9625, 0.0, 0.0, 0.0]",2.0,0,NO,154.0,XGBoost,"[154.0, 0.9625, 0.0, 0.0, 0.0]",False
"[118.89, 0.99075, 0.0, 0.0, 0.0]",1.0,0,NO,118.89,RoundRobin,"[118.89, 0.99075, 0.0, 0.0, 0.0]",False
"[91.4, 1.1425, 0.0, 0.0, 0.0]",0.0,1,YES,91.4,XGBoost,"[91.4, 1.1425, 0.0, 0.0, 0.0]",False
"[91.05, 1.138125, 0.0, 0.0, 0.0]",0.0,1,YES,91.05,FCFS,"[91.05, 1.138125, 0.0, 0.0, 0.0]",False
"[191.12, 1.1945, 0.0, 0.0, 0.0]",2.0,1,YES,191.12,XGBoost,"[191.12, 1.1945, 0.0, 0.0, 0.0]",False
"[110.4, 0.92, 0.0, 0.0, 0.0]",1.0,0,NO,110.4,FCFS,"[110.4, 0.92, 0.0, 0.0, 0.0]",False
"[149.46, 0.934125, 0.0, 0.0, 0.0]",2.0,0,NO,149.46,XGBoost,"[149.46, 0.934125, 0.0, 0.0, 0.0]",False
"[129.3, 1.0775, 0.0, 0.0, 0.0]",1.0,0,NO,129.3,RoundRobin,"[129.3, 1.0775, 0.0, 0.0, 0.0]",False
"[82.21, 1.027625, 0.0, 0.0, 0.0]",0.0,1,YES,82.21,RoundRobin,"[82.21, 1.027625, 0.0, 0.0, 0.0]",False
"[124.995, 1.041625, 0.0, 0.0, 0.0]",1.0,0,NO,124.995,RoundRobin,"[124.995, 1.041625, 0.0, 0.0, 0.0]",False
"[164.74, 1.029625, 0.0, 0.0, 0.0]",2.0,0,NO,164.74,FCFS,"[164.74, 1.029625, 0.0, 0.0, 0.0]",False
"[199.3, 1.245625, 0.0, 0.0, 0.0]",2.0,0,NO,199.3,RoundRobin,"[199.3, 1.245625, 0.0, 0.0, 0.0]",False
"[78.06, 0.97575, 0.0, 0.0, 0.0]",0.0,1,YES,78.06,RoundRobin,"[78.06, 0.97575, 0.0, 0.0, 0.0]",False
"[110.565, 0.921375, 0.0, 0.0, 0.0]",1.0,0,NO,110.565,FCFS,"[110.565, 0.921375, 0.0, 0.0, 0.0]",False
"[199.54, 1.247125, 0.0, 0.0, 0.0]",2.0,0,NO,199.54,FCFS,"[199.54, 1.247125, 0.0, 0.0, 0.0]",False
"[107.16, 0.893, 0.0, 0.0, 0.0]",1.0,0,NO,107.16,FCFS,"[107.16, 0.893, 0.0, 0.0, 0.0]",False
"[88.09, 1.101125, 0.0, 0.0, 0.0]",0.0,1,YES,88.09,XGBoost,"[88.09, 1.101125, 0.0, 0.0, 0.0]",False
"[172.46, 1.077875, 0.0, 0.0, 0.0]",2.0,1,YES,172.46,XGBoost,"[172.46, 1.077875, 0.0, 0.0, 0.0]",False
"[178.84, 1.11775, 0.0, 0.0, 0.0]",2.0,0,NO,178.84,RoundRobin,"[178.84, 1.11775, 0.0, 0.0, 0.0]",False
"[189.7, 1.185625, 0.0, 0.0, 0.0]",2.0,0,NO,189.7,RoundRobin,"[189.7, 1.185625, 0.0, 0.0, 0.0]",False
"[131.415, 1.095125, 0.0, 0.0, 0.0]",1.0,0,NO,131.415,RoundRobin,"[131.415, 1.095125, 0.0, 0.0, 0.0]",False
"[161.88, 1.01175, 0.0, 0.0, 0.0]",2.0,0,NO,161.88,RoundRobin,"[161.88, 1.01175, 0.0, 0.0, 0.0]",False
"[189.38, 1.183625, 0.0, 0.0, 0.0]",2.0,0,NO,189.38,RoundRobin,"[189.38, 1.183625, 0.0, 0.0, 0.0]",False
"[130.74, 1.0895, 0.0, 0.0, 0.0]",1.0,0,NO,130.74,FCFS,"[130.74, 1.0895, 0.0, 0.0, 0.0]",False
"[94.38, 1.17975, 0.0, 0.0, 0.0]",0.0,1,YES,94.38,XGBoost,"[94.38, 1.17975, 0.0, 0.0, 0.0]",False
"[88.21, 1.102625, 0.0, 0.0, 0.0]",0.0,1,YES,88.21,XGBoost,"[88.21, 1.102625, 0.0, 0.0, 0.0]",False
"[126.135, 1.051125, 0.0, 0.0, 0.0]",1.0,0,NO,126.135,RoundRobin,"[126.135, 1.051125, 0.0, 0.0, 0.0]",False
"[140.88, 1.174, 0.0, 0.0, 0.0]",1.0,0,NO,140.88,FCFS,"[140.88, 1.174, 0.0, 0.0, 0.0]",False
"[184.16, 1.151, 0.0, 0.0, 0.0]",2.0,0,NO,184.16,RoundRobin,"[184.16, 1.151, 0.0, 0.0, 0.0]",False
