TaskID,SelectedCloud,StartTime,EndTime,ExecutionTime,CPUCost,SLADuration,SLAMet
1198,2,627.3264748,628.8506748,1.5242,152.42,0.952625,NO
1199,1,627.4461181,628.6999753,1.253857143,131.655,1.097125,NO
1200,1,628.4084835,629.6169121,1.208428571,126.885,1.057375,NO
1201,1,628.5927752,629.9194895,1.326714286,139.305,1.160875,NO
1202,0,629.2360519,630.0940519,0.858,85.8,1.0725,YES
1203,2,629.9003974,631.5441974,1.6438,164.38,1.027375,NO
1204,0,630.5062792,631.3830792,0.8768,87.68,1.096,YES
1205,2,630.9335355,632.4885355,1.555,155.5,0.971875,NO
1206,1,631.2996369,632.3790655,1.079428571,113.34,0.9445,NO
1207,0,631.3410243,632.2759243,0.9349,93.49,1.168625,YES
1208,0,631.6925845,632.6200845,0.9275,92.75,1.159375,YES
1209,0,632.7204473,633.4625473,0.7421,74.21,0.927625,YES
1210,1,632.8845183,633.895804,1.011285714,106.185,0.884875,NO
1211,2,633.8755018,635.3793018,1.5038,150.38,0.939875,NO
1212,2,634.0936587,635.4952587,1.4016,140.16,0.876,NO
1213,0,635.2359305,636.1490305,0.9131,91.31,1.141375,YES
1214,2,635.2593441,637.0917441,1.8324,183.24,1.14525,NO
1215,1,635.2605862,636.4864434,1.225857143,128.715,1.072625,NO
1216,0,635.2939381,636.2922381,0.9983,99.83,1.247875,YES
1217,2,636.0586941,637.5176941,1.459,145.9,0.911875,NO
1218,1,637.2447243,638.2977243,1.053,110.565,0.921375,NO
1219,0,637.360553,638.329153,0.9686,96.86,1.21075,YES
1220,0,637.4080542,638.2011542,0.7931,79.31,0.991375,YES
1221,1,639.1308367,640.2732653,1.142428571,119.955,0.999625,NO
1222,1,639.2566321,640.5550607,1.298428571,136.335,1.136125,NO
1223,1,639.5945423,640.8711137,1.276571429,134.04,1.117,NO
1224,0,639.6543406,640.4610406,0.8067,80.67,1.008375,YES
1225,2,640.4248038,642.3714038,1.9466,194.66,1.216625,NO
1226,1,640.6139469,641.7336611,1.119714286,117.57,0.97975,NO
1227,0,640.6207751,641.3619751,0.7412,74.12,0.9265,YES
1228,2,641.2826363,642.9058363,1.6232,162.32,1.0145,NO
1229,2,641.8365878,643.7527878,1.9162,191.62,1.197625,NO
1230,1,643.0257429,644.3484572,1.322714286,138.885,1.157375,NO
1231,1,643.5164714,644.9290428,1.412571429,148.32,1.236,NO
1232,2,643.9831694,645.5005694,1.5174,151.74,0.948375,NO
1233,2,644.0147431,645.7083431,1.6936,169.36,1.0585,NO
1234,1,644.7909135,645.9497706,1.158857143,121.68,1.014,NO
1235,2,645.0954259,646.5484259,1.453,145.3,0.908125,NO
1236,2,645.7928169,647.5970169,1.8042,180.42,1.127625,NO
1237,0,645.9809639,646.7774639,0.7965,79.65,0.995625,YES
1238,1,646.3126226,647.6543368,1.341714286,140.88,1.174,NO
1239,2,646.9206491,648.6244491,1.7038,170.38,1.064875,NO
1240,1,647.3059285,648.6904999,1.384571429,145.38,1.2115,NO
1241,1,647.352392,648.7492491,1.396857143,146.67,1.22225,NO
1242,0,648.3751456,649.1173456,0.7422,74.22,0.92775,YES
1243,0,649.1570231,649.9277231,0.7707,77.07,0.963375,YES
1244,0,649.6248886,650.5248886,0.9,90,1.125,YES
1245,1,650.5963095,651.8595952,1.263285714,132.645,1.105375,NO
1246,2,650.7216145,652.4290145,1.7074,170.74,1.067125,NO
1247,1,650.7886573,652.1206573,1.332,139.86,1.1655,NO
1248,0,650.8155553,651.7675553,0.952,95.2,1.19,YES
1249,0,651.3411528,652.1112528,0.7701,77.01,0.962625,YES
1250,2,652.3290018,654.2676018,1.9386,193.86,1.211625,NO
1251,0,652.7355481,653.5411481,0.8056,80.56,1.007,YES
1252,1,653.3292207,654.5377922,1.208571429,126.9,1.0575,NO
1253,0,653.5231328,654.3808328,0.8577,85.77,1.072125,YES
1254,1,654.0908371,655.2519799,1.161142857,121.92,1.016,NO
1255,0,654.7104615,655.5815615,0.8711,87.11,1.088875,YES
1256,0,655.2646921,656.2631921,0.9985,99.85,1.248125,YES
1257,2,655.7333059,657.5957059,1.8624,186.24,1.164,NO
1258,1,656.097193,657.514193,1.417,148.785,1.239875,NO
1259,1,656.7013417,657.8291988,1.127857143,118.425,0.986875,NO
1260,2,657.0959507,658.8267507,1.7308,173.08,1.08175,NO
1261,2,657.4600596,659.2770596,1.817,181.7,1.135625,NO
1262,1,657.8892424,659.1809567,1.291714286,135.63,1.13025,NO
1263,1,658.6053677,659.9905106,1.385142857,145.44,1.212,NO
1264,0,658.8651866,659.7599866,0.8948,89.48,1.1185,YES
1265,0,659.3525129,660.3109129,0.9584,95.84,1.198,YES
1266,1,659.7407268,660.9252983,1.184571429,124.38,1.0365,NO
1267,1,660.8292822,661.8918536,1.062571429,111.57,0.92975,NO
1268,2,661.4563532,663.1779532,1.7216,172.16,1.076,NO
1269,2,661.5980766,663.0070766,1.409,140.9,0.880625,NO
1270,1,661.8417231,662.8662945,1.024571429,107.58,0.8965,NO
1271,2,662.0615305,663.7221305,1.6606,166.06,1.037875,NO
1272,2,662.2553521,664.1113521,1.856,185.6,1.16,NO
1273,0,662.500274,663.232574,0.7323,73.23,0.915375,YES
1274,2,664.1985047,665.9169047,1.7184,171.84,1.074,NO
1275,2,664.2167616,665.6841616,1.4674,146.74,0.917125,NO
1276,1,665.3758051,666.4738051,1.098,115.29,0.96075,NO
1277,2,665.4013714,667.3869714,1.9856,198.56,1.241,NO
1278,0,665.8167557,666.5176557,0.7009,70.09,0.876125,YES
1279,0,666.3951802,667.1116802,0.7165,71.65,0.895625,YES
1280,0,666.6214617,667.4520617,0.8306,83.06,1.03825,YES
1281,2,667.0989602,669.0331602,1.9342,193.42,1.208875,NO
1282,2,667.4217194,669.0891194,1.6674,166.74,1.042125,NO
1283,1,667.5677273,668.9162987,1.348571429,141.6,1.18,NO
1284,1,667.9501403,669.2782832,1.328142857,139.455,1.162125,NO
1285,2,668.6927963,670.3641963,1.6714,167.14,1.044625,NO
1286,2,670.1771582,672.1259582,1.9488,194.88,1.218,NO
1287,0,670.2900864,671.2717864,0.9817,98.17,1.227125,YES
1288,0,670.9369498,671.6509498,0.714,71.4,0.8925,YES
1289,1,670.9875714,672.2287143,1.241142857,130.32,1.086,NO
1290,0,671.3990973,672.3192973,0.9202,92.02,1.15025,YES
1291,1,671.9375562,673.0811276,1.143571429,120.075,1.000625,NO
1292,0,672.5998438,673.5229438,0.9231,92.31,1.153875,YES
1293,0,672.7819083,673.6103083,0.8284,82.84,1.0355,YES
1294,0,673.1688311,673.9058311,0.737,73.7,0.92125,YES
1295,1,674.0585575,675.3714147,1.312857143,137.85,1.14875,NO
1296,2,674.1849926,675.8661926,1.6812,168.12,1.05075,NO
1297,2,674.3061724,676.2077724,1.9016,190.16,1.1885,NO
1298,0,674.5375608,675.2568608,0.7193,71.93,0.899125,YES
1299,0,675.3536811,676.2391811,0.8855,88.55,1.106875,YES
1300,2,677.4223896,679.2489896,1.8266,182.66,1.141625,NO
1301,0,677.6448658,678.3944658,0.7496,74.96,0.937,YES
1302,2,677.6753949,679.3357949,1.6604,166.04,1.03775,NO
1303,2,678.0798988,679.6426988,1.5628,156.28,0.97675,NO
1304,0,678.1007273,679.0847273,0.984,98.4,1.23,YES
1305,1,678.1420971,679.5090971,1.367,143.535,1.196125,NO
1306,2,678.473741,680.290341,1.8166,181.66,1.135375,NO
1307,1,678.8979633,680.1813919,1.283428571,134.76,1.123,NO
1308,1,679.7197907,680.9512193,1.231428571,129.3,1.0775,NO
1309,1,680.1669748,681.3019748,1.135,119.175,0.993125,NO
1310,0,681.0446175,681.9457175,0.9011,90.11,1.126375,YES
1311,2,681.974805,683.615405,1.6406,164.06,1.025375,NO
1312,2,682.1209006,683.5787006,1.4578,145.78,0.911125,NO
1313,0,683.2583658,684.0996658,0.8413,84.13,1.051625,YES
1314,2,683.4456818,684.9686818,1.523,152.3,0.951875,NO
1315,0,683.502286,684.213886,0.7116,71.16,0.8895,YES
1316,1,683.6016109,684.6771823,1.075571429,112.935,0.941125,NO
1317,2,684.0859004,685.7657004,1.6798,167.98,1.049875,NO
1318,1,684.4138401,685.7234115,1.309571429,137.505,1.145875,NO
1319,1,685.0099258,686.1462115,1.136285714,119.31,0.99425,NO
1320,0,685.8697112,686.7287112,0.859,85.9,1.07375,YES
1321,2,686.275392,687.789192,1.5138,151.38,0.946125,NO
1322,1,686.5969354,688.0200782,1.423142857,149.43,1.24525,NO
1323,1,687.6187683,688.7203398,1.101571429,115.665,0.963875,NO
1324,1,687.7830626,688.8973483,1.114285714,117,0.975,NO
1325,0,688.45201,689.34411,0.8921,89.21,1.115125,YES
1326,1,688.8624749,690.1181891,1.255714286,131.85,1.09875,NO
1327,2,689.1024945,690.5108945,1.4084,140.84,0.88025,NO
1328,2,689.468974,691.235774,1.7668,176.68,1.10425,NO
1329,1,689.7646174,690.9073317,1.142714286,119.985,0.999875,NO
1330,0,691.0729701,692.0678701,0.9949,99.49,1.243625,YES
1331,1,691.1522852,692.2829994,1.130714286,118.725,0.989375,NO
1332,0,691.5461106,692.2964106,0.7503,75.03,0.937875,YES
1333,2,691.9791708,693.5135708,1.5344,153.44,0.959,NO
1334,2,692.3838092,694.3676092,1.9838,198.38,1.239875,NO
1335,0,692.8181197,693.5984197,0.7803,78.03,0.975375,YES
1336,0,693.6595236,694.6117236,0.9522,95.22,1.19025,YES
1337,1,694.2226637,695.598378,1.375714286,144.45,1.20375,NO
1338,1,694.5215077,695.5983649,1.076857143,113.07,0.94225,NO
