TaskID,SelectedCloud,StartTime,EndTime,ExecutionTime,CPUCost,SLADuration,SLAMet
1,2,54.06803730276853,55.06803730276853,1.0,170.02,0.9445555555555556,NO
2,2,54.111726732099825,55.111726732099825,1.0,175.42,0.9745555555555555,NO
3,1,54.125241301413915,55.125241301413915,1.0,114.045,0.8447777777777777,NO
4,2,54.20949445122173,55.20949445122173,1.0,184.5,1.025,YES
5,2,54.53564770599819,55.53564770599819,1.0,163.74,0.9096666666666666,NO
6,2,56.0349889923356,57.0349889923356,1.0,194.62,1.0812222222222223,YES
7,0,57.13607460553706,57.13607460553706,0.0,79.91,0.8878888888888888,YES
8,0,57.206235371488134,57.206235371488134,0.0,84.13,0.9347777777777778,YES
9,2,57.22345346419965,58.22345346419965,1.0,186.48,1.036,YES
10,2,57.25048260282783,58.25048260282783,1.0,159.68,0.8871111111111111,NO
11,2,57.317483079968675,58.317483079968675,1.0,189.18,1.051,YES
12,2,57.40744180415171,58.40744180415171,1.0,180.44,1.0024444444444445,YES
13,2,57.41898890244346,58.41898890244346,1.0,163.34,0.9074444444444445,NO
14,2,57.713316006473185,58.713316006473185,1.0,174.62,0.9701111111111111,NO
15,2,58.071295411996374,59.071295411996374,1.0,171.92,0.9551111111111111,NO
16,0,60.20411190830559,60.20411190830559,0.0,83.84,0.9315555555555556,YES
17,1,60.335180196299476,61.335180196299476,1.0,116.31,0.8615555555555555,NO
18,2,60.375723904241745,61.375723904241745,1.0,183.96,1.022,YES
19,2,60.62848335366519,61.62848335366519,1.0,173.68,0.9648888888888889,NO
20,2,61.0699779846712,62.0699779846712,1.0,185.98,1.0332222222222223,YES
21,2,61.60694311799456,62.60694311799456,1.0,183.06,1.017,YES
22,0,63.27214921107412,63.27214921107412,0.0,77.08,0.8564444444444445,YES
23,0,63.41247074297627,63.41247074297627,0.0,72.06,0.8006666666666666,YES
24,1,63.4469069283993,64.4469069283993,1.0,117.57,0.8708888888888889,NO
25,2,63.50096520565566,64.50096520565566,1.0,186.6,1.0366666666666666,YES
26,0,63.63496615993735,63.63496615993735,0.0,79.75,0.8861111111111111,YES
27,2,63.81488360830342,64.81488360830342,1.0,184.78,1.0265555555555557,YES
28,2,63.83797780488692,64.83797780488692,1.0,169.48,0.9415555555555556,NO
29,0,64.42663201294637,64.42663201294637,0.0,83.32,0.9257777777777778,YES
30,0,65.14259082399275,65.14259082399275,0.0,80.24,0.8915555555555555,YES
31,2,66.1049669770068,67.1049669770068,1.0,196.4,1.0911111111111111,YES
32,2,66.34018651384265,67.34018651384265,1.0,166.84,0.9268888888888889,NO
33,0,66.55863366049913,66.55863366049913,0.0,83.03,0.9225555555555556,YES
34,2,66.62620650706957,67.62620650706957,1.0,178.36,0.9908888888888889,NO
35,2,67.04747225610865,68.04747225610865,1.0,182.98,1.0165555555555557,YES
36,0,68.67823852999094,68.67823852999094,0.0,71.58,0.7953333333333333,YES
37,2,69.40822381661118,70.40822381661118,1.0,170.62,0.9478888888888889,NO
38,0,69.6187061144644,69.6187061144644,0.0,72.03,0.8003333333333333,YES
39,2,69.67036039259895,70.67036039259895,1.0,164.72,0.9151111111111111,NO
40,0,69.75144780848348,69.75144780848348,0.0,71.1,0.79,YES
41,1,69.95244923990602,70.95244923990602,1.0,112.935,0.8365555555555556,NO
42,0,70.22232541245512,70.22232541245512,0.0,77.41,0.8601111111111112,YES
43,0,70.25696670733038,70.25696670733038,0.0,83.43,0.927,YES
44,2,71.13994801941956,72.13994801941956,1.0,194.74,1.081888888888889,YES
45,2,71.1399559693424,72.1399559693424,1.0,177.38,0.9854444444444445,NO
46,1,72.21388623598912,73.21388623598912,1.0,110.265,0.8167777777777778,NO
47,0,72.47626111937971,72.47626111937971,0.0,83.34,0.926,YES
48,2,72.78208712469878,73.78208712469878,1.0,172.38,0.9576666666666667,NO
49,1,72.87668910989738,73.87668910989738,1.0,108.735,0.8054444444444444,NO
50,2,73.46646115855211,74.46646115855211,1.0,168.42,0.9356666666666666,NO
51,2,75.54429842214824,76.54429842214824,1.0,195.4,1.0855555555555556,YES
52,1,75.74953394198731,76.74953394198731,1.0,110.94,0.8217777777777778,NO
53,0,75.82494148595254,75.82494148595254,0.0,70.36,0.7817777777777778,YES
54,0,75.8938138567986,75.8938138567986,0.0,84.13,0.9347777777777778,YES
55,1,76.00193041131129,77.00193041131129,1.0,110.775,0.8205555555555556,NO
56,2,76.174944961678,77.174944961678,1.0,188.46,1.047,YES
57,2,76.26993231987468,77.26993231987468,1.0,184.98,1.0276666666666667,YES
58,0,76.62976721660682,76.62976721660682,0.0,79.26,0.8806666666666667,YES
59,2,76.67595560977384,77.67595560977384,1.0,185.3,1.0294444444444444,YES
60,0,77.85326402589276,77.85326402589276,0.0,71.0,0.7888888888888889,YES
61,2,78.61233572491678,79.61233572491678,1.0,174.38,0.9687777777777777,NO
62,2,79.00554058889843,80.00554058889843,1.0,174.86,0.9714444444444444,NO
63,2,79.1271717127252,80.1271717127252,1.0,177.26,0.9847777777777778,NO
64,2,79.2851816479855,80.2851816479855,1.0,173.4,0.9633333333333334,NO
65,0,79.88545006099557,79.88545006099557,0.0,79.18,0.8797777777777778,YES
66,1,81.2099339540136,82.2099339540136,1.0,105.195,0.7792222222222223,NO
67,2,81.6803730276853,82.6803730276853,1.0,173.74,0.9652222222222222,NO
68,2,82.03117685744067,83.03117685744067,1.0,180.5,1.0027777777777778,YES
69,2,82.11726732099825,83.11726732099825,1.0,193.18,1.0732222222222223,YES
70,2,82.25241301413911,83.25241301413911,1.0,170.16,0.9453333333333334,NO
71,0,82.58741539984335,82.58741539984335,0.0,72.74,0.8082222222222222,YES
72,2,82.82082935398368,83.82082935398368,1.0,196.38,1.091,YES
73,2,83.03720902075852,84.03720902075852,1.0,173.68,0.9648888888888889,NO
74,2,83.0949445122173,84.0949445122173,1.0,192.06,1.067,YES
75,2,84.56658003236595,85.56658003236595,1.0,176.2,0.9788888888888889,NO
76,2,84.74841033045384,85.74841033045384,1.0,178.58,0.9921111111111112,NO
77,2,85.22899405309808,86.22899405309808,1.0,176.82,0.9823333333333333,NO
78,2,85.37765431555302,86.37765431555302,1.0,168.16,0.9342222222222222,NO
